来源,排名,队伍 ID,战队,简称,地区,参赛状态,首发人数,队伍评分,稳定度,阵容位置,选手 ID,游戏 ID,真实姓名,国籍,年龄,位置,Rating,样本状态,数据日期,Team HLTV ID,Player HLTV ID
职业,1,hltv-team-11283,Falcons,FALCO,International,可参赛,5,1647,0.72,首发,hltv-player-429,karrigan,Finn Andersen,Denmark,24,Unset,0.81,current,2026-08-10,11283,429
职业,1,hltv-team-11283,Falcons,FALCO,International,可参赛,5,1647,0.72,首发,hltv-player-3741,NiKo,Nikola Kovač,Bosnia and Herzegovina,24,Unset,1.12,current,2026-08-10,11283,3741
职业,1,hltv-team-11283,Falcons,FALCO,International,可参赛,5,1647,0.72,首发,hltv-player-12018,TeSeS,René Madsen,Denmark,24,Unset,1.03,current,2026-08-10,11283,12018
职业,1,hltv-team-11283,Falcons,FALCO,International,可参赛,5,1647,0.72,首发,hltv-player-19230,m0NESY,Ilya Osipov,Russia,24,Unset,1.27,current,2026-08-10,11283,19230
职业,1,hltv-team-11283,Falcons,FALCO,International,可参赛,5,1647,0.72,首发,hltv-player-24177,kyousuke,Maksim Lukin,Russia,24,Unset,1.16,current,2026-08-10,11283,24177
职业,2,hltv-team-7020,Spirit,SPIRI,International,可参赛,5,1666,0.72,首发,hltv-player-16920,sh1ro,Dmitry Sokolov,Russia,24,Unset,1.15,current,2026-08-10,7020,16920
职业,2,hltv-team-7020,Spirit,SPIRI,International,可参赛,5,1666,0.72,首发,hltv-player-18317,magixx,Boris Vorobiev,Russia,24,Unset,0.99,current,2026-08-10,7020,18317
职业,2,hltv-team-7020,Spirit,SPIRI,International,可参赛,5,1666,0.72,首发,hltv-player-19808,tN1R,Andrey Tatarinovich,Belarus,24,Unset,1.03,current,2026-08-10,7020,19808
职业,2,hltv-team-7020,Spirit,SPIRI,International,可参赛,5,1666,0.72,首发,hltv-player-20423,zont1x,Myroslav Plakhotia,Ukraine,24,Unset,0.97,current,2026-08-10,7020,20423
职业,2,hltv-team-7020,Spirit,SPIRI,International,可参赛,5,1666,0.72,首发,hltv-player-21167,donk,Danil Kryshkovets,Russia,24,Unset,1.41,current,2026-08-10,7020,21167
职业,3,hltv-team-8297,FURIA,FURIA,International,可参赛,5,1635,0.72,首发,hltv-player-2023,FalleN,Gabriel Toledo,Brazil,24,Unset,0.91,current,2026-08-10,8297,2023
职业,3,hltv-team-8297,FURIA,FURIA,International,可参赛,5,1635,0.72,首发,hltv-player-12553,yuurih,Yuri Santos,Brazil,24,Unset,1.00,current,2026-08-10,8297,12553
职业,3,hltv-team-8297,FURIA,FURIA,International,可参赛,5,1635,0.72,首发,hltv-player-13915,YEKINDAR,Mareks Gaļinskis,Latvia,24,Unset,1.07,current,2026-08-10,8297,13915
职业,3,hltv-team-8297,FURIA,FURIA,International,可参赛,5,1635,0.72,首发,hltv-player-15631,KSCERATO,Kaike Cerato,Brazil,24,Unset,1.17,current,2026-08-10,8297,15631
职业,3,hltv-team-8297,FURIA,FURIA,International,可参赛,5,1635,0.72,首发,hltv-player-24144,molodoy,Danil Golubenko,Kazakhstan,24,Unset,1.14,current,2026-08-10,8297,24144
职业,4,hltv-team-9565,Vitality,VITAL,International,可参赛,5,1680,0.72,首发,hltv-player-7322,apEX,Dan Madesclaire,France,24,Unset,0.97,current,2026-08-10,9565,7322
职业,4,hltv-team-9565,Vitality,VITAL,International,可参赛,5,1680,0.72,首发,hltv-player-11816,ropz,Robin Kool,Estonia,24,Unset,1.14,current,2026-08-10,9565,11816
