战队,简称,语言,地区,队伍评分,稳定度,游戏 ID,真实姓名,国籍,年龄,位置,Rating
霜火竞技,霜火,中文,Asia,1610,0.48,林寒,林寒澈,中国,25,IGL,1.20
霜火竞技,霜火,中文,Asia,1610,0.48,周辰,唐曜烬,中国,24,AWPer,0.98
霜火竞技,霜火,中文,Asia,1610,0.48,沈野,魏鸣远,中国,27,Entry,1.04
霜火竞技,霜火,中文,Asia,1610,0.48,陆烬,周墨岳,中国,19,Rifler,1.04
霜火竞技,霜火,中文,Asia,1610,0.48,顾星,苏寒澈,中国,24,Support,1.20
玄甲战队,玄甲,中文,Asia,1627,0.54,叶墨,陶曜烬,中国,25,IGL,1.17
玄甲战队,玄甲,中文,Asia,1627,0.54,唐衡,沈鸣远,中国,24,AWPer,1.13
玄甲战队,玄甲,中文,Asia,1627,0.54,苏舟,秦墨岳,中国,24,Entry,1.17
玄甲战队,玄甲,中文,Asia,1627,0.54,秦澈,白寒澈,中国,25,Rifler,1.04
玄甲战队,玄甲,中文,Asia,1627,0.54,韩锋,陆曜烬,中国,29,Support,1.08
长风电子竞技,长风,中文,Asia,1619,0.59,程鸣,韩鸣远,中国,17,IGL,1.01
长风电子竞技,长风,中文,Asia,1619,0.59,宋凛,夏墨岳,中国,18,AWPer,1.06
长风电子竞技,长风,中文,Asia,1619,0.59,魏霄,顾寒澈,中国,20,Entry,1.16
长风电子竞技,长风,中文,Asia,1619,0.59,陶岳,许曜烬,中国,27,Rifler,1.10
长风电子竞技,长风,中文,Asia,1619,0.59,白岚,邵鸣远,中国,26,Support,1.20
赤霄俱乐部,赤霄,中文,Asia,1586,0.65,邵曜,江墨岳,中国,17,IGL,1.19
赤霄俱乐部,赤霄,中文,Asia,1586,0.65,罗策,程寒澈,中国,19,AWPer,1.17
赤霄俱乐部,赤霄,中文,Asia,1586,0.65,林尘,罗曜烬,中国,20,Entry,0.88
赤霄俱乐部,赤霄,中文,Asia,1586,0.65,周远,叶鸣远,中国,21,Rifler,1.14
赤霄俱乐部,赤霄,中文,Asia,1586,0.65,沈川,宋墨岳,中国,24,Support,0.90
星河竞技,星河,中文,Asia,1588,0.7,顾寒,林寒澈,中国,27,IGL,0.88
星河竞技,星河,中文,Asia,1588,0.7,江辰,唐曜烬,中国,21,AWPer,1.14
星河竞技,星河,中文,Asia,1588,0.7,叶野,魏鸣远,中国,28,Entry,1.05
星河竞技,星河,中文,Asia,1588,0.7,唐烬,周墨岳,中国,18,Rifler,1.10
星河竞技,星河,中文,Asia,1588,0.7,苏星,苏寒澈,中国,17,Support,1.12
破晓战队,破晓,中文,Asia,1624,0.76,韩墨,陶曜烬,中国,26,IGL,1.20
破晓战队,破晓,中文,Asia,1624,0.76,许衡,沈鸣远,中国,17,AWPer,1.14
破晓战队,破晓,中文,Asia,1624,0.76,程舟,秦墨岳,中国,19,Entry,1.13
破晓战队,破晓,中文,Asia,1624,0.76,宋澈,白寒澈,中国,28,Rifler,0.97
破晓战队,破晓,中文,Asia,1624,0.76,魏锋,陆曜烬,中国,26,Support,1.13
天穹电子竞技,天穹,中文,Asia,1635,0.81,白鸣,韩鸣远,中国,31,IGL,1.23
天穹电子竞技,天穹,中文,Asia,1635,0.81,夏凛,夏墨岳,中国,17,AWPer,1.09
天穹电子竞技,天穹,中文,Asia,1635,0.81,邵霄,顾寒澈,中国,17,Entry,1.05
天穹电子竞技,天穹,中文,Asia,1635,0.81,罗岳,许曜烬,中国,28,Rifler,1.16
天穹电子竞技,天穹,中文,Asia,1635,0.81,林岚,邵鸣远,中国,23,Support,1.12
墨影俱乐部,墨影,中文,Asia,1584,0.86,沈曜,江墨岳,中国,28,IGL,0.93
墨影俱乐部,墨影,中文,Asia,1584,0.86,陆策,程寒澈,中国,27,AWPer,0.91
墨影俱乐部,墨影,中文,Asia,1584,0.86,顾尘,罗曜烬,中国,27,Entry,1.22
墨影俱乐部,墨影,中文,Asia,1584,0.86,江远,叶鸣远,中国,26,Rifler,1.01
墨影俱乐部,墨影,中文,Asia,1584,0.86,叶川,宋墨岳,中国,28,Support,1.19
昆仑竞技,昆仑,中文,Asia,1531,0.48,苏寒,林寒澈,中国,31,IGL,1.01
昆仑竞技,昆仑,中文,Asia,1531,0.48,秦辰,唐曜烬,中国,23,AWPer,0.96
昆仑竞技,昆仑,中文,Asia,1531,0.48,韩野,魏鸣远,中国,26,Entry,0.95
昆仑竞技,昆仑,中文,Asia,1531,0.48,许烬,周墨岳,中国,17,Rifler,1.01
昆仑竞技,昆仑,中文,Asia,1531,0.48,程星,苏寒澈,中国,20,Support,0.92
凌云战队,凌云,中文,Asia,1560,0.54,魏墨,陶曜烬,中国,19,IGL,1.14
凌云战队,凌云,中文,Asia,1560,0.54,陶衡,沈鸣远,中国,23,AWPer,0.95
凌云战队,凌云,中文,Asia,1560,0.54,白舟,秦墨岳,中国,22,Entry,1.04
凌云战队,凌云,中文,Asia,1560,0.54,夏澈,白寒澈,中国,27,Rifler,0.98
凌云战队,凌云,中文,Asia,1560,0.54,邵锋,陆曜烬,中国,25,Support,0.97
苍狼电子竞技,苍狼,中文,Asia,1627,0.59,林鸣,韩鸣远,中国,20,IGL,1.17
苍狼电子竞技,苍狼,中文,Asia,1627,0.59,周凛,夏墨岳,中国,30,AWPer,1.20
苍狼电子竞技,苍狼,中文,Asia,1627,0.59,沈霄,顾寒澈,中国,23,Entry,1.20
苍狼电子竞技,苍狼,中文,Asia,1627,0.59,陆岳,许曜烬,中国,28,Rifler,0.89
苍狼电子竞技,苍狼,中文,Asia,1627,0.59,顾岚,邵鸣远,中国,20,Support,1.13
逐日俱乐部,逐日,中文,Asia,1586,0.65,叶曜,江墨岳,中国,17,IGL,1.03
逐日俱乐部,逐日,中文,Asia,1586,0.65,唐策,程寒澈,中国,19,AWPer,0.93
逐日俱乐部,逐日,中文,Asia,1586,0.65,苏尘,罗曜烬,中国,22,Entry,1.15
